,Title,Synopsis,Original Language,Runtime,Director,Producer,Writer,Top Cast,Distributor,Production Co,Box Office (Gross USA),Tomato Meter,Audience Score,No. Reviews,Genre,Release Date (Theaters),Release Date (Streaming),Link
28,Star Wars Episode I The Phantom Menace,"Obi-Wan Kenobi (Ewan McGregor) is a young apprentice Jedi knight under the tutelage of Qui-Gon Jinn (Liam Neeson) ; Anakin Skywalker (Jake Lloyd), who will later father Luke Skywalker and become known as Darth Vader, is just a 9-year-old boy. When the Trade Federation cuts off all routes to the planet Naboo, Qui-Gon and Obi-Wan are assigned to settle the matter.", English, 2h 13m, George Lucas, Rick McCallum, George Lucas,"['Liam Neeson', 'Qui-Gon Jinn', 'Ewan McGregor', 'Obi-Wan Kenobi', 'Natalie Portman', 'Queen Amidala, Padmé Naberrie', 'Jake Lloyd', 'Anakin Skywalker', 'Pernilla August', 'Shmi Skywalker', 'Frank Oz', 'Master Yoda Voice']", 20th Century Fox, Lucasfilm Ltd., $474.5M,52%,59%,237," Sci-fi, Adventure, Action, Fantasy"," May 19, 1999  Wide"," Apr 10, 2015",https://www.rottentomatoes.com/m/star_wars_episode_i_the_phantom_menace
29,F9,"Vin Diesel's Dom Toretto is leading a quiet life off the grid with Letty and his son, little Brian, but they know that danger always lurks just over their peaceful horizon. This time, that threat will force Dom to confront the sins of his past if he's going to save those he loves most. His crew joins together to stop a world-shattering plot led by the most skilled assassin and high-performance driver they've ever encountered: a man who also happens to be Dom's forsaken brother, Jakob (John Cena, the upcoming The Suicide Squad).", English, 2h 25m, Justin Lin," Neal H. Moritz, Vin Diesel, Justin Lin, Jeff Kirschenbaum, Joe Roth, Clayton Townsend, Samantha Vincent"," Daniel Casey, Justin Lin","['Vin Diesel', 'Dominic Toretto', 'Michelle Rodriguez', 'Letty', 'Jordana Brewster', 'Mia', 'Tyrese Gibson', 'Roman', 'Ludacris', 'Tej', 'Nathalie Emmanuel', 'Ramsey']", Universal Pictures," Perfect Storm Entertainment, Universal Pictures, One Race Films, Original Film, Roth/Kirschenbaum Films", $173.0M,59%,82%,315," Action, Adventure, Crime"," Jun 25, 2021  Wide"," Jul 30, 2021",https://www.rottentomatoes.com/m/f9
30,Black Adam,"Nearly 5,000 years after he was bestowed with the almighty powers of the ancient gods--and imprisoned just as quickly--Black Adam (Dwayne Johnson) is freed from his earthly tomb, ready to unleash his unique form of justice on the modern world.", English, 2h 5m, Jaume Collet-Serra," Beau Flynn, Hiram Garcia, Dwayne Johnson, Dany Garcia"," Adam Sztykiel, Rory Haines, Sohrab Noshirvani","['Dwayne Johnson', 'Black Adam, Teth Adam', 'Aldis Hodge', 'Hawkman, Carter Hall', 'Noah Centineo', 'Atom Smasher, Al Rothstein', 'Sarah Shahi', 'Adrianna Tomaz, Isis', 'Marwan Kenzari', 'Ishmael, Sabbac, King Ahk-Ton', 'Quintessa Swindell', 'Cyclone, Maxine Hunkel']", Warner Bros. Pictures," New Line Cinema, Flynn Picture Company, Seven Bucks Productions", $168.1M,38%,88%,304," Action, Adventure, Fantasy"," Oct 21, 2022  Wide"," Nov 22, 2022",https://www.rottentomatoes.com/m/black_adam
31,Shazam Fury Of The Gods,"From New Line Cinema comes ""Shazam! Fury of the Gods,"" which continues the story of teenage Billy Batson who, upon reciting the magic word ""SHAZAM!,"" is transformed into his adult Super Hero alter ego, Shazam.", English, 2h 10m, David F. Sandberg, Peter Safran," Henry Gayden, Chris Morgan","['Zachary Levi', 'Shazam', 'Helen Mirren', 'Hespera', 'Lucy Liu', 'Kalypso', 'Asher Angel', 'Billy Batson', 'Rachel Zegler', 'Anthea', 'Jack Dylan Grazer', 'Freddy Freeman']", Warner Bros. Pictures," New Line Cinema, Warner Bros., DC Entertainment", $57.6M,49%,86%,259," Action, Adventure, Comedy, Fantasy"," Mar 17, 2023  Wide"," Apr 7, 2023",https://www.rottentomatoes.com/m/shazam_fury_of_the_gods
32,The Interview 2014,"Dave Skylark (James Franco) and his producer Aaron Rapoport (Seth Rogen) are the team behind the popular tabloid-TV show ""Skylark Tonight."" After learning that North Korea's Kim Jong Un (Randall Park) is a huge fan of the show, they successfully set up an interview with him, hoping to legitimize themselves as actual journalists. However, as Dave and Aaron prepare for their journey to Pyongyang, the CIA steps in, recruits them, and assigns them an incredible mission: Assassinate the dictator.", English, 1h 51m," Seth Rogen, Evan Goldberg"," Seth Rogen, Evan Goldberg, James Weaver", Dan Sterling,"['James Franco', 'Dave Skylark', 'Seth Rogen', 'Aaron Rapaport', 'Lizzy Caplan', 'Agent Lacey', 'Randall Park', 'Kim Jong Un', 'Diana Bang', 'Sook', 'Timothy Simons', 'Malcolm']", Sony Pictures Entertainment, Point Grey, $6.1M,51%,48%,156," Comedy, Action, Adventure"," Jan 2, 2015  Wide"," Mar 3, 2015",https://www.rottentomatoes.com/m/the_interview_2014
33,The Accountant 2016,"Christian Wolff (Ben Affleck) is a mathematics savant with more affinity for numbers than people. Using a small-town CPA office as a cover, he makes his living as a freelance accountant for dangerous criminal organizations. With a Treasury agent (J.K. Simmons) hot on his heels, Christian takes on a state-of-the-art robotics company as a legitimate client. As Wolff gets closer to the truth about a discrepancy that involves millions of dollars, the body count starts to rise.", English, 2h 8m, Gavin O'Connor," Mark Williams, Lynette Howell Taylor", Bill Dubuque,"['Ben Affleck', 'Christian Wolff', 'Anna Kendrick', 'Dana Cummings', 'J.K. Simmons', 'Ray King', 'Jon Bernthal', 'Brax', 'Jeffrey Tambor', 'Francis Silverberg', 'Cynthia Addai-Robinson', 'Marybeth Medina']", Warner Bros. Pictures," Electric City Entertainment, Warner Bros. Pictures", $86.2M,52%,76%,287," Mystery & thriller, Action, Crime, Drama"," Oct 14, 2016  Wide"," Dec 27, 2016",https://www.rottentomatoes.com/m/the_accountant_2016
34,Pirates Of The Caribbean Dead Men Tell No Tales,"Thrust into an all-new adventure, a down-on-his-luck Capt. Jack Sparrow feels the winds of ill-fortune blowing even more strongly when deadly ghost sailors led by his old nemesis, the evil Capt. Salazar, escape from the Devil's Triangle. Jack's only hope of survival lies in seeking out the legendary Trident of Poseidon, but to find it, he must forge an uneasy alliance with a brilliant and beautiful astronomer and a headstrong young man in the British navy.", English, 2h 3m," Joachim Rønning, Espen Sandberg", Jerry Bruckheimer, Jeff Nathanson,"['Johnny Depp', 'Captain Jack Sparrow', 'Geoffrey Rush', 'Captain Hector Barbossa', 'Javier Bardem', 'Captain Armando Salazar', 'Brenton Thwaites', 'Henry Turner', 'Kaya Scodelario', 'Carina Smyth', 'Orlando Bloom', 'Will Turner']", Walt Disney, Jerry Bruckheimer Films, $172.5M,30%,60%,293," Adventure, Action, Fantasy"," May 26, 2017  Wide"," Jul 10, 2017",https://www.rottentomatoes.com/m/pirates_of_the_caribbean_dead_men_tell_no_tales
35,Armageddon,"When an asteroid threatens to collide with Earth, NASA honcho Dan Truman (Billy Bob Thornton) determines the only way to stop it is to drill into its surface and detonate a nuclear bomb. This leads him to renowned driller Harry Stamper (Bruce Willis), who agrees to helm the dangerous space mission provided he can bring along his own hotshot crew. Among them is the cocksure A.J. (Ben Affleck), who Harry thinks isn't good enough for his daughter (Liv Tyler), until the mission proves otherwise.", English, 2h 30m, Michael Bay," Gale Anne Hurd, Jerry Bruckheimer, Michael Bay"," Robert Roy Pool, Tony Gilroy, Shane Salerno, Jonathan Hensleigh, J.J. Abrams","['Bruce Willis', 'Harry S. Stamper', 'Billy Bob Thornton', 'Dan Truman, NASA Administrator', 'Liv Tyler', 'Grace Stamper', 'Ben Affleck', 'A.J. Frost', 'Will Patton', 'Charles ""Chick"" Chapple', 'Peter Stormare', 'Lev Andropov, Russian Cosmonaut']"," Buena Vista Pictures, Touchstone Pictures, Criterion Collection, Touchstone Home Video"," Valhalla Motion Pictures, Touchstone Pictures, Digital Image Associates, Jerry Bruckheimer Films", $201.6M,43%,73%,177," Sci-fi, Action, Adventure"," Jul 1, 1998  Original"," Nov 23, 2015",https://www.rottentomatoes.com/m/armageddon
36,Justice League 2017,"Fueled by his restored faith in humanity and inspired by Superman's selfless act, Bruce Wayne enlists newfound ally Diana Prince to face an even greater threat. Together, Batman and Wonder Woman work quickly to recruit a team to stand against this newly awakened enemy. Despite the formation of an unprecedented league of heroes -- Batman, Wonder Woman, Aquaman, Cyborg and the Flash -- it may be too late to save the planet from an assault of catastrophic proportions.", English, 1h 59m, Zack Snyder," Charles Roven, Deborah Snyder, Jon Berg, Geoff Johns"," Chris Terrio, Joss Whedon","['Ben Affleck', 'Batman, Bruce Wayne', 'Henry Cavill', 'Superman, Clark Kent', 'Gal Gadot', 'Wonder Woman, Diana Prince', 'Amy Adams', 'Lois Lane', 'Ezra Miller', 'The Flash, Barry Allen', 'Jason Momoa', 'Aquaman, Arthur Curry']", Warner Bros. Pictures," Atlas Entertainment, Cruel and Unusual", $227.0M,39%,67%,413," Action, Adventure, Fantasy"," Nov 17, 2017  Wide"," Feb 13, 2018",https://www.rottentomatoes.com/m/justice_league_2017
37,1108704-Planet Of The Apes,"Director Tim Burton (""Batman"") reinvents one of the most acclaimed and beloved works of science fiction, Pierre Boulle's classic novel ""Planet of the Apes."" Burton's ""Planet of the Apes"" begins with the famed original's premise -- a pilot finds himself in a world turned upside down after landing on a strange planet.", English, 2h 0m, Tim Burton, Richard D. Zanuck," William Broyles Jr., Lawrence Konner, Mark Rosenthal, Pierre Boulle","['Mark Wahlberg', 'Captain Leo Davidson', 'Tim Roth', 'Thade', 'Helena Bonham Carter', 'Ari', 'Michael Clarke Duncan', 'Attar', 'Paul Giamatti', 'Limbo', 'Estella Warren', 'Daena']", 20th Century Fox," Twentieth Century Fox, Zanuck Company", $180.0M,44%,27%,160," Sci-fi, Action, Adventure"," Jul 27, 2001  Wide"," Mar 1, 2013",https://www.rottentomatoes.com/m/1108704-planet_of_the_apes
38,Underwater 2020,"Disaster strikes more than six miles below the ocean surface when water crashes through the walls of a drilling station. Led by their captain, the survivors realize that their only hope is to walk across the sea floor to reach the main part of the facility. But they soon find themselves in a fight for their lives when they come under attack from mysterious and deadly creatures that no one has ever seen.", English, 1h 35m, William Eubank," Peter Chernin, Jenno Topping, Tonia Davis"," Brian Duffield, Adam Cozad","['Kristen Stewart', 'Norah Price', 'Vincent Cassel', 'Captain Lucien', 'Mamoudou Athie', 'Rodrigo Nagenda', 'T.J. Miller', 'Paul Abel', 'John Gallagher Jr.', 'Liam Smith', 'Jessica Henwick', 'Emily Haversham']", 20th Century Fox," 20th Century Fox, TSG Entertainment, Chernin Entertainment", $17.3M,48%,60%,223," Sci-fi, Horror, Mystery & thriller, Action"," Jan 10, 2020  Wide"," Apr 14, 2020",https://www.rottentomatoes.com/m/underwater_2020
39,Venom 2018,"Journalist Eddie Brock is trying to take down Carlton Drake, the notorious and brilliant founder of the Life Foundation. While investigating one of Drake's experiments, Eddie's body merges with the alien Venom -- leaving him with superhuman strength and power. Twisted, dark and fueled by rage, Venom tries to control the new and dangerous abilities that Eddie finds so intoxicating.", English, 1h 52m, Ruben Fleischer," Avi Arad, Matthew Tolmach, Amy Pascal"," Jeff Pinkner, Scott Rosenberg, Kelly Marcel","['Tom Hardy', 'Eddie Brock, Venom', 'Michelle Williams', 'Anne Weying', 'Riz Ahmed', 'Carlton Drake, Riot', 'Scott Haze', 'Roland Treece', 'Reid Scott', 'Dr. Dan Lewis', 'Jenny Slate', 'Dr. Dora Skirth']"," Sony Pictures Entertainment, Columbia Pictures"," Pascal Pictures, Columbia Pictures, Tencent Pictures, Marvel Entertainment, Sony Pictures Entertainment (SPE)", $213.5M,30%,80%,365," Action, Adventure, Fantasy, Sci-fi"," Oct 5, 2018  Wide"," Jun 18, 2019",https://www.rottentomatoes.com/m/venom_2018
40,The Machine 2023,"Bert Kreischer rose to fame as a stand-up comedian known as The Machine, and in his signature set he recounts his true experience with Russian mobsters while on a booze-soaked college trip. Now, 23 years later, that trip has come back to haunt him as he and his estranged father (Mark Hamill) are kidnapped back to Russia by the mob to atone for something they say he did. Together, Bert and his father must retrace the steps of his younger self (Jimmy Tatro) in the midst of a war within a sociopathic crime family, all while attempting to find common ground in their often fraught relationship.", English, 1h 52m, Peter Atencio," Bert Kreischer, LeeAnn Kreischer, Judi Marmel, Cale Boyter, Peter Atencio"," Kevin Biegel, Scotty Landes","['Bert Kreischer', 'Self', 'Mark Hamill', 'Albert', 'Jimmy Tatro', 'Young Bert', 'Iva Babic', 'Irina', 'Stephanie Kurtzuba', 'LeeAnn', 'Jess Gabor', 'Sasha']", Screen Gems," Legendary Entertainment, Shaken Not Stirred, Screen Gems, Balkanic Media", $10.1M,32%,87%,25," Comedy, Action"," May 26, 2023  Wide"," Jun 20, 2023",https://www.rottentomatoes.com/m/the_machine_2023
41,Fast And The Furious Tokyo Drift,"Sean Boswell (Lucas Black) always feels like an outsider, but he defines himself through his victories as a street racer. His hobby makes him unpopular with the authorities, so he goes to live with his father in Japan. Once there and even more alienated, he learns about an exciting, but dangerous, new style of the sport. The stakes are high when Sean takes on the local champion and falls for the man's girlfriend.", English, 1h 44m, Justin Lin, Neal H. Moritz," Alfredo Botello, Chris Morgan, Kario Salem","['Lucas Black', 'Sean Boswell', 'Zachery Ty Bryan', 'Clay', 'Shad ""Bow Wow"" Moss', 'Twinkie', 'Brian Tee', 'D.K.', 'Nathalie Kelley', 'Neela', 'Sung Kang', 'Han']", Universal Pictures," Universal Pictures, Original Film", $62.5M,37%,69%,142, Action," Jun 16, 2006  Wide"," Jul 22, 2015",https://www.rottentomatoes.com/m/fast_and_the_furious_tokyo_drift
42,In Time,"In a future where time is money and the wealthy can live forever, Will Salas (Justin Timberlake) is a poor man who rarely has more than a day's worth of life on his time clock. When he saves Henry Hamilton (Matt Bomer) from time thieves, Will receives the gift of a century. However, such a large transaction attracts the attention of the authorities, and when Will is falsely accused of murder, he must go on the run, taking the daughter (Amanda Seyfried) of an incredibly wealthy man with him.", English, 1h 49m, Andrew Niccol," Andrew Niccol, Eric Newman, Marc Abraham", Andrew Niccol,"['Justin Timberlake', 'Will Salas', 'Amanda Seyfried', 'Sylvia Weis', 'Cillian Murphy', 'Raymond Leon', 'Vincent Kartheiser', 'Philippe Weis', 'Olivia Wilde', 'Rachel Salas', 'Matt Bomer', 'Henry Hamilton']", 20th Century Fox," New Regency Pictures, Strike Entertainment", $37.6M,37%,51%,177," Sci-fi, Action"," Oct 28, 2011  Wide"," Jan 1, 2014",https://www.rottentomatoes.com/m/in_time
43,Pirates Of The Caribbean Dead Mans Chest,"When ghostly pirate Davy Jones (Bill Nighy) comes to collect a blood debt, Capt. Jack Sparrow (Johnny Depp) must find a way to avoid his fate lest his soul be damned for all time. Nevertheless, the wily ghost manages to interrupt the wedding plans of Jack's friends Will Turner (Orlando Bloom) and Elizabeth Swann (Keira Knightley).", English, 2h 31m, Gore Verbinski, Jerry Bruckheimer," Ted Elliott, Terry Rossio","['Johnny Depp', 'Capt. Jack Sparrow', 'Orlando Bloom', 'Will Turner', 'Keira Knightley', 'Elizabeth Swann', 'Bill Nighy', 'Davy Jones', 'Geoffrey Rush', 'Barbossa', 'Stellan Skarsgård', 'Bootstrap Bill Turner']", Buena Vista Pictures," Walt Disney Pictures, Jerry Bruckheimer Films", $423.3M,53%,72%,229," Adventure, Action, Fantasy"," Jul 7, 2006  Wide"," Jan 1, 2014",https://www.rottentomatoes.com/m/pirates_of_the_caribbean_dead_mans_chest
44,The Meg,"Previously thought to be extinct, a massive creature attacks a deep-sea submersible, leaving it disabled and trapping the crew at the bottom of the Pacific. With time running out, a visionary oceanographer recruits rescue diver Jonas Taylor to save the crew and the sea itself from an unimaginable threat -- a 75-foot-long prehistoric shark known as the Megalodon.", English, 1h 53m, Jon Turteltaub," Lorenzo di Bonaventura, Colin Wilson, Belle Avery"," Dean Georgaris, Jon Hoeber, Erich Hoeber","['Jason Statham', 'Jonas Taylor', 'Li Bingbing', 'Suyin', 'Rainn Wilson', 'Morris', 'Cliff Curtis', 'Mac', 'Winston Chao', 'Zhang', 'Shuya Sophia Cai', 'Meiying']", Warner Bros. Pictures," Maeday Productions, Apelles Entertainment, Warner Bros. Pictures, Flagship Entertainment, Gravity Pictures, Di Bonaventura Pictures", $142.8M,47%,44%,313," Sci-fi, Mystery & thriller, Action, Adventure"," Aug 10, 2018  Wide"," Oct 30, 2018",https://www.rottentomatoes.com/m/the_meg
